======RHFedMTL====== 
Accuracy 	 Resource 
0.6933333333333334 	 [200] 
0.74 	 [400] 
0.72 	 [600] 
0.7333333333333334 	 [800] 
0.76 	 [1000] 
0.7466666666666667 	 [1200] 
0.76 	 [1400] 
0.7133333333333334 	 [1600] 
0.7266666666666667 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6733333333333333 	 200 
0.6533333333333333 	 400 
0.66 	 600 
0.7 	 800 
0.72 	 1000 
0.7133333333333334 	 1200 
0.7 	 1400 
0.7 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5933333333333334 	 200 
0.5866666666666667 	 400 
0.5466666666666666 	 600 
0.5666666666666667 	 800 
0.5266666666666666 	 1000 
0.5266666666666666 	 1200 
0.5866666666666667 	 1400 
0.5533333333333335 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.5266666666666666 	 200 
0.56 	 400 
0.5533333333333335 	 600 
0.5599999999999999 	 800 
0.6133333333333333 	 1000 
0.6066666666666667 	 1200 
0.5666666666666667 	 1400 
0.6066666666666666 	 1600 
======FedEM====== 
Accuracy 	 Resource 
0.0 	 0 
0.5733333333333334 	 200 
0.5733333333333334 	 400 
0.5733333333333334 	 600 
0.5466666666666666 	 800 
0.5466666666666666 	 1000 
0.5666666666666667 	 1200 
0.5666666666666667 	 1400 
0.5666666666666667 	 1600 
