======RHFedMTL====== 
Accuracy 	 Resource 
0.0 	 [0] 
0.6466666666666667 	 [200] 
0.72 	 [400] 
0.7333333333333333 	 [600] 
0.7133333333333334 	 [800] 
0.7466666666666667 	 [1000] 
0.72 	 [1200] 
0.76 	 [1400] 
0.7466666666666667 	 [1600] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6866666666666668 	 200 
0.6933333333333334 	 400 
0.72 	 600 
0.7066666666666667 	 800 
0.7133333333333333 	 1000 
0.72 	 1200 
0.7266666666666667 	 1400 
0.7533333333333334 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5133333333333333 	 200 
0.5533333333333335 	 400 
0.58 	 600 
0.5599999999999999 	 800 
0.5533333333333333 	 1000 
0.56 	 1200 
0.58 	 1400 
0.5866666666666667 	 1600 
