======RHFedMTL====== 
Accuracy 	 Resource 
0.5888888888888888 	 [200] 
0.6444444444444444 	 [400] 
0.6111111111111112 	 [600] 
0.6111111111111112 	 [800] 
0.6499999999999999 	 [1000] 
0.6055555555555556 	 [1200] 
0.6222222222222222 	 [1400] 
0.6388888888888888 	 [1600] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6166666666666667 	 200 
0.6277777777777778 	 400 
0.6111111111111112 	 600 
0.5555555555555554 	 800 
0.6166666666666667 	 1000 
0.5999999999999999 	 1200 
0.5944444444444443 	 1400 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5333333333333334 	 200 
0.5611111111111111 	 400 
0.6166666666666667 	 600 
0.6166666666666667 	 800 
0.6388888888888888 	 1000 
0.5999999999999999 	 1200 
0.5888888888888888 	 1400 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.5777777777777777 	 200 
0.5666666666666667 	 400 
0.6000000000000001 	 600 
0.6666666666666665 	 800 
0.6777777777777778 	 1000 
0.6333333333333333 	 1200 
0.6388888888888888 	 1400 
======FedEM====== 
Accuracy 	 Resource 
0.0 	 0 
0.6055555555555556 	 200 
0.6055555555555556 	 400 
0.6055555555555556 	 600 
0.6055555555555556 	 800 
0.6055555555555556 	 1000 
0.6055555555555556 	 1200 
0.6055555555555556 	 1400 
