======RHFedMTL====== 
Accuracy 	 Resource 
0.6133333333333333 	 [200] 
0.6266666666666667 	 [400] 
0.6333333333333333 	 [600] 
0.6266666666666667 	 [800] 
0.6333333333333333 	 [1000] 
0.6733333333333333 	 [1200] 
0.64 	 [1400] 
0.6266666666666667 	 [1600] 
0.64 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.62 	 200 
0.6 	 400 
0.64 	 600 
0.6066666666666667 	 800 
0.6 	 1000 
0.6066666666666667 	 1200 
0.6066666666666667 	 1400 
0.62 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.6 	 200 
0.6466666666666666 	 400 
0.6533333333333333 	 600 
0.6466666666666667 	 800 
0.6133333333333333 	 1000 
0.7133333333333334 	 1200 
0.5733333333333334 	 1400 
0.64 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.54 	 200 
0.6333333333333333 	 400 
0.5533333333333333 	 600 
0.66 	 800 
0.58 	 1000 
0.6866666666666666 	 1200 
0.6933333333333334 	 1400 
0.7266666666666667 	 1600 
======FedEM====== 
Accuracy 	 Resource 
0.0 	 0 
0.6 	 200 
0.6 	 400 
0.5733333333333334 	 600 
0.5066666666666667 	 800 
0.6066666666666667 	 1000 
0.6866666666666666 	 1200 
0.68 	 1400 
0.7066666666666667 	 1600 
