======RHFedMTL====== 
Accuracy 	 Resource 
0.7266666666666667 	 [200] 
0.72 	 [400] 
0.7066666666666666 	 [600] 
0.7133333333333334 	 [800] 
0.7333333333333334 	 [1000] 
0.7266666666666667 	 [1200] 
0.72 	 [1400] 
0.7 	 [1600] 
0.74 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6933333333333334 	 200 
0.6866666666666666 	 400 
0.6933333333333334 	 600 
0.7066666666666667 	 800 
0.6799999999999999 	 1000 
0.7066666666666667 	 1200 
0.6933333333333334 	 1400 
0.6733333333333333 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.58 	 200 
0.54 	 400 
0.5666666666666667 	 600 
0.54 	 800 
0.5199999999999999 	 1000 
0.58 	 1200 
0.5666666666666667 	 1400 
0.5933333333333334 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.5466666666666666 	 200 
0.52 	 400 
0.5733333333333334 	 600 
0.5266666666666666 	 800 
0.5466666666666667 	 1000 
0.56 	 1200 
0.5466666666666666 	 1400 
0.6 	 1600 
======FedEM====== 
Accuracy 	 Resource 
0.0 	 0 
0.5466666666666666 	 200 
0.5466666666666666 	 400 
0.5466666666666666 	 600 
0.5466666666666666 	 800 
0.5466666666666666 	 1000 
0.52 	 1200 
0.52 	 1400 
0.52 	 1600 
