======RHFedMTL====== 
Accuracy 	 Resource 
0.6933333333333334 	 [200] 
0.6533333333333333 	 [400] 
0.62 	 [600] 
0.64 	 [800] 
0.64 	 [1000] 
0.5733333333333334 	 [1200] 
0.5599999999999999 	 [1400] 
0.6733333333333333 	 [1600] 
0.6533333333333333 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6666666666666666 	 200 
0.6799999999999999 	 400 
0.6933333333333334 	 600 
0.6466666666666666 	 800 
0.6866666666666666 	 1000 
0.6933333333333334 	 1200 
0.6733333333333333 	 1400 
0.6066666666666667 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5066666666666666 	 200 
0.5466666666666666 	 400 
0.54 	 600 
0.6066666666666667 	 800 
0.5933333333333334 	 1000 
0.5733333333333334 	 1200 
0.6133333333333333 	 1400 
0.62 	 1600 
