======RHFedMTL====== 
Accuracy 	 Resource 
0.6466666666666667 	 [200] 
0.7466666666666667 	 [400] 
0.7533333333333334 	 [600] 
0.7733333333333333 	 [800] 
0.7133333333333334 	 [1000] 
0.7666666666666666 	 [1200] 
0.7533333333333334 	 [1400] 
0.7333333333333333 	 [1600] 
0.7533333333333333 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6866666666666666 	 200 
0.7 	 400 
0.7 	 600 
0.6799999999999999 	 800 
0.7066666666666667 	 1000 
0.72 	 1200 
0.7066666666666667 	 1400 
0.7333333333333334 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5133333333333334 	 200 
0.5800000000000001 	 400 
0.5533333333333333 	 600 
0.5733333333333334 	 800 
0.5399999999999999 	 1000 
0.5666666666666667 	 1200 
0.62 	 1400 
0.6 	 1600 
