======RHFedMTL====== 
Task 0====== 
Accuracy 	 Time 
[0.] 	 0 
[0.63333333] 	 51 
[0.7] 	 102 
[0.8] 	 153 
[0.8] 	 204 
[0.83333333] 	 255 
[0.93333333] 	 306 
[0.93333333] 	 357 
[0.9] 	 408 
[0.93333333] 	 459 
Task 1====== 
Accuracy 	 Time 
[0.] 	 0 
[0.6] 	 51 
[0.63333333] 	 102 
[0.7] 	 153 
[0.76666667] 	 204 
[0.66666667] 	 255 
[0.76666667] 	 306 
[0.66666667] 	 357 
[0.73333333] 	 408 
[0.76666667] 	 459 
Task 2====== 
Accuracy 	 Time 
[0.] 	 0 
[0.63333333] 	 51 
[0.6] 	 102 
[0.6] 	 153 
[0.66666667] 	 204 
[0.66666667] 	 255 
[0.66666667] 	 306 
[0.66666667] 	 357 
[0.63333333] 	 408 
[0.63333333] 	 459 
Task 3====== 
Accuracy 	 Time 
[0.] 	 0 
[0.86666667] 	 51 
[0.9] 	 102 
[0.86666667] 	 153 
[0.86666667] 	 204 
[0.86666667] 	 255 
[0.86666667] 	 306 
[0.86666667] 	 357 
[0.86666667] 	 408 
[0.86666667] 	 459 
Task 4====== 
Accuracy 	 Time 
[0.] 	 0 
[0.7] 	 51 
[0.7] 	 102 
[0.7] 	 153 
[0.7] 	 204 
[0.7] 	 255 
[0.7] 	 306 
[0.7] 	 357 
[0.7] 	 408 
[0.76666667] 	 459 
======HFedMTL====== 
Task 0====== 
Accuracy 	 Time 
[0.] 	 0 
[0.73333333] 	 2 
[0.7] 	 4 
[0.73333333] 	 6 
[0.6] 	 8 
[0.6] 	 10 
[0.6] 	 12 
[0.7] 	 14 
[0.6] 	 16 
[0.63333333] 	 18 
[0.63333333] 	 20 
[0.63333333] 	 22 
[0.63333333] 	 24 
[0.63333333] 	 26 
[0.63333333] 	 28 
[0.63333333] 	 30 
[0.63333333] 	 32 
[0.63333333] 	 34 
[0.63333333] 	 36 
[0.63333333] 	 38 
[0.63333333] 	 40 
[0.73333333] 	 42 
[0.73333333] 	 44 
[0.73333333] 	 46 
Task 1====== 
Accuracy 	 Time 
[0.] 	 0 
[0.6] 	 2 
[0.7] 	 4 
[0.63333333] 	 6 
[0.63333333] 	 8 
[0.76666667] 	 10 
[0.76666667] 	 12 
[0.6] 	 14 
[0.6] 	 16 
[0.66666667] 	 18 
[0.56666667] 	 20 
[0.63333333] 	 22 
[0.63333333] 	 24 
[0.56666667] 	 26 
[0.56666667] 	 28 
[0.56666667] 	 30 
[0.63333333] 	 32 
[0.6] 	 34 
[0.56666667] 	 36 
[0.56666667] 	 38 
[0.6] 	 40 
[0.56666667] 	 42 
[0.56666667] 	 44 
[0.6] 	 46 
Task 2====== 
Accuracy 	 Time 
[0.] 	 0 
[0.63333333] 	 2 
[0.6] 	 4 
[0.63333333] 	 6 
[0.5] 	 8 
[0.7] 	 10 
[0.73333333] 	 12 
[0.7] 	 14 
[0.7] 	 16 
[0.66666667] 	 18 
[0.66666667] 	 20 
[0.66666667] 	 22 
[0.66666667] 	 24 
[0.66666667] 	 26 
[0.63333333] 	 28 
[0.7] 	 30 
[0.7] 	 32 
[0.73333333] 	 34 
[0.7] 	 36 
[0.63333333] 	 38 
[0.66666667] 	 40 
[0.66666667] 	 42 
[0.63333333] 	 44 
[0.63333333] 	 46 
Task 3====== 
Accuracy 	 Time 
[0.] 	 0 
[0.76666667] 	 2 
[0.86666667] 	 4 
[0.86666667] 	 6 
[0.8] 	 8 
[0.9] 	 10 
[0.86666667] 	 12 
[0.86666667] 	 14 
[0.8] 	 16 
[0.76666667] 	 18 
[0.86666667] 	 20 
[0.83333333] 	 22 
[0.83333333] 	 24 
[0.86666667] 	 26 
[0.86666667] 	 28 
[0.86666667] 	 30 
[0.86666667] 	 32 
[0.86666667] 	 34 
[0.86666667] 	 36 
[0.86666667] 	 38 
[0.86666667] 	 40 
[0.86666667] 	 42 
[0.86666667] 	 44 
[0.83333333] 	 46 
Task 4====== 
Accuracy 	 Time 
[0.] 	 0 
[0.53333333] 	 2 
[0.63333333] 	 4 
[0.66666667] 	 6 
[0.73333333] 	 8 
[0.73333333] 	 10 
[0.7] 	 12 
[0.73333333] 	 14 
[0.73333333] 	 16 
[0.73333333] 	 18 
[0.73333333] 	 20 
[0.73333333] 	 22 
[0.7] 	 24 
[0.7] 	 26 
[0.66666667] 	 28 
[0.66666667] 	 30 
[0.66666667] 	 32 
[0.66666667] 	 34 
[0.66666667] 	 36 
[0.66666667] 	 38 
[0.66666667] 	 40 
[0.7] 	 42 
[0.66666667] 	 44 
[0.7] 	 46 
======FedAVG====== 
Task 0====== 
Accuracy 	 Time 
[0.] 	 0 
[0.56666667] 	 2 
[0.43333333] 	 4 
[0.4] 	 6 
[0.36666667] 	 8 
[0.36666667] 	 10 
[0.36666667] 	 12 
[0.43333333] 	 14 
[0.5] 	 16 
[0.46666667] 	 18 
[0.56666667] 	 20 
[0.56666667] 	 22 
[0.66666667] 	 24 
[0.66666667] 	 26 
[0.83333333] 	 28 
[0.53333333] 	 30 
[0.6] 	 32 
[0.4] 	 34 
[0.5] 	 36 
