======RHFedMTL====== 
Accuracy 	 Resource 
0.6733333333333333 	 [200] 
0.74 	 [400] 
0.7266666666666667 	 [600] 
0.7466666666666667 	 [800] 
0.7266666666666667 	 [1000] 
0.8066666666666666 	 [1200] 
0.7533333333333333 	 [1400] 
0.76 	 [1600] 
0.74 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6866666666666668 	 200 
0.66 	 400 
0.7066666666666667 	 600 
0.74 	 800 
0.7133333333333334 	 1000 
0.7266666666666667 	 1200 
0.7133333333333334 	 1400 
0.7066666666666667 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5333333333333333 	 200 
0.5133333333333334 	 400 
0.5333333333333333 	 600 
0.5466666666666666 	 800 
0.6466666666666667 	 1000 
0.5466666666666666 	 1200 
0.5533333333333335 	 1400 
0.5733333333333334 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.4933333333333334 	 200 
0.5399999999999999 	 400 
0.5533333333333333 	 600 
0.6133333333333334 	 800 
0.5866666666666667 	 1000 
0.5666666666666667 	 1200 
0.5599999999999999 	 1400 
0.62 	 1600 
