======RHFedMTL====== 
Accuracy 	 Resource 
0.675 	 [200] 
0.675 	 [400] 
0.675 	 [600] 
0.68125 	 [800] 
0.6875 	 [1000] 
0.7 	 [1200] 
0.71875 	 [1400] 
0.6875 	 [1600] 
0.6875 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.63125 	 200 
0.68125 	 400 
0.6875 	 600 
0.68125 	 800 
0.6625 	 1000 
0.6625 	 1200 
0.68125 	 1400 
0.6875 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.53125 	 200 
0.5875 	 400 
0.6 	 600 
0.56875 	 800 
0.59375 	 1000 
0.60625 	 1200 
0.59375 	 1400 
0.6375 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.55 	 200 
0.59375 	 400 
0.55625 	 600 
0.61875 	 800 
0.58125 	 1000 
0.65 	 1200 
0.61875 	 1400 
0.58125 	 1600 
